UID,DEGREE
836460098,850
1150567451,106
1353053028,98
100001693022196,90
100001291308549,86
1544416648,82
1556264029,82
100000437562594,80
1643448655,78
1629302317,74
100000179415374,70
1054171618,70
100003142745920,70
100002815756523,68
1550065701,64
100000274192255,64
1784412457,62
1592342186,60
1246760058,60
100001638152391,60
603716019,60
100001079463242,60
100002451954229,60
751502974,58
1613226624,58
659780554,56
100000614600550,56
1340266499,56
1536653620,56
1337746570,56
100000048381511,54
1475837888,54
1493432158,54
1190114289,54
100000460797181,52
1463362965,50
1478113265,48
1516178922,48
1187093618,48
100000121438746,48
100000642204643,48
100003829702779,48
1003742112,46
100000487715596,44
1249174445,44
1579172220,44
100000509863756,44
1288360510,42
1265922058,42
1745483871,42
1590354310,42
1583767010,40
1529441651,40
100002294510758,40
100001368420968,40
100008302000551,38
567278625,38
1311855495,38
640367065,36
1529169343,34
1379547150,34
100002081767299,34
1357590223,34
564772809,34
1540724040,34
1527332539,34
1512397688,32
1286239002,32
1318986142,32
100004490670042,32
1825677330,32
1500995833,32
752049186,30
1377861809,30
1041832045,30
100002768706225,30
1476666278,30
100002748805974,30
1557184819,28
100008029844848,28
1659609863,28
100002630417624,28
100001005424972,28
1557964253,28
1628360351,28
692951915,28
100000949851672,28
100003784913934,26
100002269884346,26
1745385892,26
1256518516,26
100001652030919,26
702751883,24
1645624410,24
1060995620,24
100000508970432,24
1331116607,24
1461082972,24
695477887,24
1552176403,24
1306021650,22
100004967584302,22
100001871897493,22
1264640018,22
100002967732289,22
1465267665,22
1396771412,22
1578647222,22
100000743270013,22
100003228732920,22
1547402711,20
590651024,20
1802162943,20
1651050691,20
100000642576173,20
1422401843,18
1577119215,18
1347703224,18
1548840395,18
100003332784039,18
1526265547,18
1692139995,18
100000740247424,18
1216442611,18
734901842,18
100001822266982,18
1368124899,18
1007709317,18
100000599363299,16
1095862165,16
572102924,16
677317169,16
1474636824,16
1569281950,16
1575183624,16
1148213848,16
100002361611588,16
1048221446,16
1628266188,16
1584069102,16
1375975315,16
100001263757955,16
100001573443229,16
1577885232,14
1462203855,14
669584808,14
1393294075,14
520556385,14
1569649317,14
791333064,14
100001428024486,14
544919127,14
1747910245,14
1668540992,14
1558260213,14
780892602,14
1439750394,14
100001677596972,14
1613140675,14
