UID,BETWEENNESS CENTRALITY
836460098,168741.12226905747
1031734142,0.0
1620195574,0.0
592958344,0.0
752049186,3.9977895204210987
100000460797181,35.78347129135055
1150567451,557.5720481187199
1512397688,6.9664686191001985
659780554,43.588025711818275
1583767010,17.632308334939914
1353053028,391.70153982584316
100001291308549,219.94282295492752
1592342186,79.54754990279757
1550065701,93.43752197922475
1377861809,29.18676498939657
1003742112,36.13731274229726
1478113265,30.78319002462965
1422401843,6.93859649122807
100000614600550,69.25980601270075
100001798566146,2.9
1306021650,11.695981795981794
100001693022196,796.0377794977641
1577119215,8.795617248248828
100000437562594,186.70722019339598
1577440545,0.0
699749567,6.0
1529441651,13.98029748029748
100000048381511,128.60725940725942
1557184819,3.4753690753690756
1529169343,17.07087357087357
1379547150,17.714929514929512
1286239002,34.59208569208569
100002081767299,16.335686535686538
100004967584302,1.8356643356643354
1288360510,26.86466866466867
100008029844848,10.560217560217561
100003784913934,2.389055389055389
1041832045,7.2087024087024085
100008302000551,8.546964146964145
1318986142,4.712620712620712
100002269884346,5.701487401487402
702751883,1.1008658008658008
1659609863,5.162792762792763
1357590223,12.881596181596183
100004490670042,5.872194472194473
1627000464,0.2
1577885232,1.5
1449108101,3.8666666666666663
1347703224,21.333333333333332
1548840395,20.4
100000914628671,0.9
1745385892,48.833333333333336
1547402711,27.33333333333333
1373347961,0.0
1206710771,7.333333333333332
1008807096,5.666666666666666
100003825277168,0.6666666666666666
1472505912,7.333333333333333
1120816688,1.0
1120025226,2.5
751502974,69.57160982120733
1463362965,28.3570716920865
100003332784039,13.0
1645624410,2.4389610389610388
1475837888,30.54895974682352
1246760058,103.09115352140121
100002768706225,7.236309888941467
1544416648,150.77358596384843
1629302317,155.07131934800668
1060995620,2.4389610389610388
554993142,0.0
659499600,10.0
100002630417624,24.850248727880306
100000508970432,21.86813186813187
567278625,61.72176974772883
100000487715596,82.22909853005761
100000179415374,165.84130556107263
100000274192255,99.75303219013678
1643448655,216.88484731127147
1516178922,71.35536866298477
1825677330,36.080075273883324
100002201148895,2.6666666666666665
100000599363299,6.767532467532468
100002294510758,43.04369405104698
1210125203,0.0
708010934,1.0
100001074596054,0.0
1095862165,3.8
1355864057,0.9
572102924,5.133333333333334
1187093618,167.5190476190476
1462203855,2.5666666666666664
669584808,1.9
1500995833,46.666666666666664
590651024,11.733333333333333
1265922058,36.420782171045325
1556264029,150.58794917201976
1331116607,12.92179189059994
1526265547,5.09570707070707
1176475320,0.0
1054171618,114.34896468041912
100001638152391,72.41845150937962
100003142745920,93.98963584963516
1036670655,6.0
1340266499,117.34263399998694
537646373,0.0
1511243235,0.0
100001871897493,35.81666666666666
100003676567468,0.2
1745483871,80.5805442493523
1164788058,0.0
1031049658,0.0
1547469370,6.0
100001005424972,36.383283383283384
