UID,EIGENVECTOR CENTRALITY
836460098,0.4472706676738338
1031734142,0.016028874510008048
1620195574,0.016028874510008048
592958344,0.01602887451000805
752049186,0.062069122662575645
100000460797181,0.09919946473628535
1150567451,0.1593101457616336
1512397688,0.06010312161730058
659780554,0.1098184741052968
1583767010,0.0831997022861847
1353053028,0.16024563358215707
100001291308549,0.14816309918473347
1592342186,0.11663602417927188
1550065701,0.11103320933790192
1377861809,0.05332121499134326
1003742112,0.08513725735524225
1478113265,0.08817324843579202
1422401843,0.0340570627961364
100000614600550,0.10045040973291425
100001798566146,0.025360145532731172
1306021650,0.03957367963410451
100001693022196,0.08923934477984628
1577119215,0.04013005073286649
100000437562594,0.14215755753108766
1577440545,0.015527074196390914
699749567,0.017051882596119682
1529441651,0.03350819799454113
100000048381511,0.03744972343738341
1557184819,0.028343514022372705
1529169343,0.03051623546179542
1379547150,0.03051429979535464
1286239002,0.029184472148171027
100002081767299,0.030542082775524813
100004967584302,0.0251312691265968
1288360510,0.03399569143257039
100008029844848,0.02767491297233079
100003784913934,0.027241622535925828
1041832045,0.02901980185177306
100008302000551,0.03284599243231715
1318986142,0.030142315763240675
100002269884346,0.026776793847819478
702751883,0.026475121836252842
1659609863,0.027894990602820306
1357590223,0.030573042275084446
100004490670042,0.02997375571797451
1627000464,0.020464840080854252
1577885232,0.01870284949064216
1449108101,0.018317325375182283
1347703224,0.019912007058563413
1548840395,0.019846165099711554
100000914628671,0.017651713367165135
1745385892,0.02236086452860105
1547402711,0.020720969747937558
1373347961,0.015583218370237979
1206710771,0.01873082131011955
1008807096,0.017197392464733296
100003825277168,0.016154995450566517
1472505912,0.017913738473173027
1120816688,0.01612481174900055
1120025226,0.016807633765118023
751502974,0.11498469924527152
1463362965,0.10515371456230078
100003332784039,0.028711509896813266
1645624410,0.04422695862217995
1475837888,0.11457134330037533
1246760058,0.11279779901874928
100002768706225,0.05568367027583261
1544416648,0.15223427761868663
1629302317,0.1313913854701524
1060995620,0.04616182494270598
554993142,0.015668183236658494
659499600,0.021271615728999122
100002630417624,0.04759119663776156
100000508970432,0.04110301307417888
567278625,0.058280286523052706
100000487715596,0.06897291240661123
100000179415374,0.1013713173634315
100000274192255,0.11724388709434054
1643448655,0.12787928287878716
1516178922,0.0916299663481236
1825677330,0.054687001635804124
100002201148895,0.019669599647837318
100000599363299,0.028286768112853192
100002294510758,0.06695595885379507
1210125203,0.015492404035255812
708010934,0.016015104035464488
100001074596054,0.014956854537440117
1095862165,0.020372766491532565
1355864057,0.017867210620113524
572102924,0.020735291631311117
1187093618,0.03511650285338836
1462203855,0.02021300883003463
669584808,0.019518346147684912
1500995833,0.026405057124477344
590651024,0.022102335989419748
1265922058,0.08399479066586558
1556264029,0.15540936253155269
1331116607,0.05515498806708839
1526265547,0.04529472614016592
1176475320,0.026806019900423753
1054171618,0.13137982830368555
100001638152391,0.11773916337926801
100003142745920,0.12980592934578863
1036670655,0.02830173401505268
1340266499,0.0935373279802956
